"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"4";"2025-01-10 12:47:36";"Push";"3300";"Bench Press (Barbell)";"2";"77.0";"7";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Bench Press (Barbell)";"3";"71.0";"12";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Bench Press (Barbell)";"4";"60.0";"6";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Bench Press (Barbell)";"5";"58.0";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Incline Chest Press (Machine)";"6";"61.5";"11";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Incline Chest Press (Machine)";"7";"40.5";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Incline Chest Press (Machine)";"8";"46.0";"9";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Chest Fly";"9";"18.0";"14";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Chest Fly";"10";"14.5";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Chest Fly";"11";"10.5";"11";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Shoulder Press (Machine)";"12";"33.0";"12";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Shoulder Press (Machine)";"13";"47.5";"8";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Shoulder Press (Machine)";"14";"31.5";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Shoulder Press (Machine)";"15";"44.0";"12";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Front Raise (Cable)";"16";"10.0";"13";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Front Raise (Cable)";"17";"10.0";"11";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Front Raise (Cable)";"18";"9.0";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Pushdown (Cable - Straight Bar)";"19";"23.5";"13";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Pushdown (Cable - Straight Bar)";"20";"32.5";"13";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Pushdown (Cable - Straight Bar)";"21";"38.5";"10";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Extension (Cable)";"22";"19.5";"12";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Extension (Cable)";"23";"30.0";"13";"";"";"";"";""
"4";"2025-01-10 12:47:36";"Push";"3300";"Triceps Extension (Cable)";"24";"22.0";"10";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Pull Up";"1";"0.0";"7";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Pull Up";"2";"0.0";"8";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Lat Pulldown (Cable)";"4";"36.0";"12";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Lat Pulldown (Cable)";"5";"55.5";"8";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Lat Pulldown (Cable)";"6";"45.0";"9";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Seated Wide-Grip Row (Cable)";"7";"43.0";"8";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Seated Wide-Grip Row (Cable)";"8";"41.5";"8";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Seated Wide-Grip Row (Cable)";"9";"39.0";"8";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Seated Wide-Grip Row (Cable)";"10";"46.0";"10";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Reverse Fly (Machine)";"11";"11.0";"14";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Reverse Fly (Machine)";"12";"13.0";"11";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Reverse Fly (Machine)";"13";"6.5";"11";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Reverse Fly (Machine)";"14";"9.5";"10";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Barbell)";"15";"24.0";"11";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Barbell)";"16";"28.0";"9";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Barbell)";"17";"27.0";"10";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Dumbbell)";"18";"14.0";"10";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Dumbbell)";"19";"14.5";"11";"";"";"";"";""
"5";"2025-01-13 18:32:34";"Pull";"3180";"Bicep Curl (Dumbbell)";"20";"9.0";"10";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Squat (Barbell)";"1";"97.0";"11";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Squat (Barbell)";"2";"46.5";"10";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Squat (Barbell)";"3";"99.0";"6";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Squat (Barbell)";"4";"50.5";"6";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Squat (Barbell)";"5";"80.0";"6";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Press (Machine)";"6";"108.0";"9";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Press (Machine)";"7";"86.0";"9";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Press (Machine)";"8";"111.0";"8";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Leg Extension (Machine)";"9";"43.5";"14";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Leg Extension (Machine)";"10";"48.5";"12";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Leg Extension (Machine)";"11";"52.5";"15";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Leg Extension (Machine)";"12";"40.5";"10";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Curl (Machine)";"13";"38.5";"15";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Curl (Machine)";"14";"43.0";"10";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Curl (Machine)";"15";"40.5";"15";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Seated Leg Curl (Machine)";"16";"31.5";"10";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Abductor (Machine)";"17";"53.0";"11";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Abductor (Machine)";"18";"55.5";"13";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Abductor (Machine)";"19";"58.0";"13";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Abductor (Machine)";"20";"47.5";"13";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Adductor (Machine)";"21";"47.0";"15";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Adductor (Machine)";"22";"53.5";"13";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Adductor (Machine)";"23";"56.0";"11";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Hip Adductor (Machine)";"24";"66.0";"12";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Standing Calf Raise (Machine)";"25";"82.0";"13";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Standing Calf Raise (Machine)";"26";"83.0";"16";"";"";"";"";""
"6";"2025-01-14 10:16:22";"Leg Day";"4920";"Standing Calf Raise (Machine)";"27";"83.0";"15";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Running (Treadmill)";"1";"";"";"";"1308.0";"413.0";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bench Press (Barbell)";"2";"54.0";"9";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bench Press (Barbell)";"3";"54.0";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bench Press (Barbell)";"4";"64.5";"9";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Seated Row (Cable)";"5";"38.0";"10";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Seated Row (Cable)";"6";"37.5";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Seated Row (Cable)";"7";"37.5";"10";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Seated Row (Cable)";"8";"40.0";"9";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Shoulder Press (Plate Loaded)";"9";"32.5";"10";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Shoulder Press (Plate Loaded)";"10";"23.0";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Shoulder Press (Plate Loaded)";"11";"26.5";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Shoulder Press (Plate Loaded)";"12";"29.0";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Lat Pulldown (Cable)";"13";"40.5";"8";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Lat Pulldown (Cable)";"14";"37.0";"9";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Lat Pulldown (Cable)";"15";"44.0";"12";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bicep Curl (Cable)";"16";"20.5";"11";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bicep Curl (Cable)";"17";"21.0";"12";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Bicep Curl (Cable)";"18";"10.0";"10";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Triceps Extension (Machine)";"19";"28.5";"12";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Triceps Extension (Machine)";"20";"28.5";"11";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Triceps Extension (Machine)";"21";"35.0";"10";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Triceps Extension (Machine)";"22";"25.0";"12";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Crunch (Machine)";"23";"30.0";"15";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Crunch (Machine)";"24";"38.5";"20";"";"";"";"";""
"7";"2025-01-16 08:07:48";"Upper Body";"4680";"Crunch (Machine)";"25";"28.5";"15";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Squat (Barbell)";"1";"65.5";"9";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Squat (Barbell)";"2";"66.0";"8";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Squat (Barbell)";"3";"72.5";"10";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Bench Press (Barbell)";"4";"52.5";"9";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Bench Press (Barbell)";"5";"57.0";"9";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Bench Press (Barbell)";"6";"74.0";"10";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Seated Row (Machine)";"7";"39.0";"8";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Seated Row (Machine)";"8";"44.5";"10";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Seated Row (Machine)";"9";"44.5";"10";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Seated Row (Machine)";"10";"41.0";"8";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Shoulder Press (Machine)";"11";"32.0";"8";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Shoulder Press (Machine)";"12";"32.0";"12";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Shoulder Press (Machine)";"13";"43.5";"10";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Bicep Curl (Machine)";"14";"21.5";"11";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Bicep Curl (Machine)";"15";"28.5";"11";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Standing Calf Raise (Machine)";"16";"106.0";"15";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Standing Calf Raise (Machine)";"17";"121.0";"19";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Standing Calf Raise (Machine)";"18";"99.5";"13";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Standing Calf Raise (Machine)";"19";"94.5";"14";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Crunch (Machine)";"20";"32.0";"14";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Crunch (Machine)";"21";"44.5";"15";"";"";"";"";""
"8";"2025-01-17 12:35:37";"Full Body";"5220";"Crunch (Machine)";"22";"26.5";"13";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Running (Treadmill)";"1";"";"";"";"1082.0";"342.0";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Bench Press (Barbell)";"2";"80.5";"7";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Bench Press (Barbell)";"3";"83.5";"7";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Bench Press (Barbell)";"4";"50.5";"11";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Bench Press (Barbell)";"5";"54.0";"6";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Bench Press (Barbell)";"6";"85.5";"12";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Incline Chest Press (Machine)";"7";"52.0";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Incline Chest Press (Machine)";"8";"43.5";"11";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Incline Chest Press (Machine)";"9";"43.0";"9";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Incline Chest Press (Machine)";"10";"42.5";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Chest Fly";"11";"12.5";"15";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Chest Fly";"12";"12.5";"11";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Chest Fly";"13";"12.0";"12";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Chest Fly";"14";"12.5";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Shoulder Press (Machine)";"15";"39.0";"9";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Shoulder Press (Machine)";"16";"40.0";"8";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Shoulder Press (Machine)";"17";"48.5";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Shoulder Press (Machine)";"18";"36.0";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Front Raise (Cable)";"19";"7.5";"12";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Front Raise (Cable)";"20";"12.0";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Front Raise (Cable)";"21";"13.5";"11";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Pushdown (Cable - Straight Bar)";"22";"34.0";"11";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Pushdown (Cable - Straight Bar)";"23";"32.5";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Pushdown (Cable - Straight Bar)";"24";"30.0";"13";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Extension (Cable)";"25";"26.5";"10";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Extension (Cable)";"26";"18.5";"14";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Extension (Cable)";"27";"15.5";"15";"";"";"";"";""
"9";"2025-01-20 08:10:31";"Push";"2880";"Triceps Extension (Cable)";"28";"23.5";"13";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Pull Up";"1";"0.0";"7";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Pull Up";"2";"0.0";"12";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Pull Up";"3";"0.0";"10";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Lat Pulldown (Cable)";"4";"52.5";"11";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Lat Pulldown (Cable)";"5";"41.0";"9";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Lat Pulldown (Cable)";"6";"37.5";"8";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Seated Wide-Grip Row (Cable)";"7";"52.0";"8";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Seated Wide-Grip Row (Cable)";"8";"41.5";"8";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Seated Wide-Grip Row (Cable)";"9";"38.0";"8";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Reverse Fly (Machine)";"10";"7.0";"10";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Reverse Fly (Machine)";"11";"7.0";"10";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Reverse Fly (Machine)";"12";"12.5";"12";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Bicep Curl (Barbell)";"13";"29.0";"12";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Bicep Curl (Barbell)";"14";"24.5";"12";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Bicep Curl (Barbell)";"15";"28.5";"8";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Bicep Curl (Dumbbell)";"16";"13.5";"12";"";"";"";"";""
"10";"2025-01-21 12:45:32";"Pull";"4560";"Bicep Curl (Dumbbell)";"17";"13.0";"10";"";"";"";"";""
